Facility_name,Million_gallons_per_day_flow,GHGI_emissions_mol_per_s,Moore_Emissions_mol_per_s,longitude,latitude,Source
ALDEN (T) SD #2 STP,0.0,0.0,0.0,-78.57175,42.884667,Discharge Monitoring Reports
ALDEN (V) WWTP,0.46125,0.00598213499782688,0.0035694663555376144,-78.5074,42.90623,Discharge Monitoring Reports
ALEXANDER (V) WWTF,0.0347441095890411,0.00045061019824593025,0.000130558015388295,-78.250722,42.903361,Discharge Monitoring Reports
ALEXANDRIA MIDDLE SCHOOL,0.0050101666666666,6.49788473964486e-05,1.0960207453457385e-05,-75.013572,40.570999,Discharge Monitoring Reports
ALEXANDRIA PORTER STP,0.0926666666666667,0.0012018309155525735,0.00045800273279194697,-78.095259,40.553904,Discharge Monitoring Reports
ALFRED WASTEWATER TREATMENT PLANT,,,,-77.778972,42.2645,Discharge Monitoring Reports
"ALLAMUCHY STP, TOWNSHIP OF",0.258166666666667,0.0033482663456671545,0.001698855656880153,-74.863502,40.913987,Discharge Monitoring Reports
ALLEGANY COUNTY COMBINED SEWER,,,,-78.77912,39.64409,Discharge Monitoring Reports
ALLEGHENY VALLEY WASTEWATER TREATMENT PLANT,5.1405,0.06666919231724462,0.0780169194802793,-79.84789,40.5319,Discharge Monitoring Reports
ALLENTOWN STP,0.145858333333333,0.0018916948304781149,0.0008183012725600344,-74.5963,40.1774,Discharge Monitoring Reports
ALLISON PARK WATER POLLUTION CONTROL PLANT,2.6015,0.033739889857662075,0.03264191768185478,-79.964054,40.563318,Discharge Monitoring Reports
ALSACE MANOR STP,0.0225166666666667,0.00029202761994811665,7.495491402837923e-05,-75.845556,40.399444,Discharge Monitoring Reports
ALTAMONT (V) STP,0.33607397260274,0.004358677232228864,0.0023806108677860848,-74.023083,42.710222,Discharge Monitoring Reports
ALTOONA C A / PLANE NINE WTP,0.147183333333333,0.0019088792833174008,0.0008278235873863385,-78.501106,40.429739,Discharge Monitoring Reports
ALTOONA CITY AUTH - WESTERLY WWTF,7.42,0.09623293590000098,0.12477225734618387,-78.426103,40.453906,Discharge Monitoring Reports
ALTOONA EASTERLY STP,4.16166666666667,0.05397431288012188,0.05954182428404868,-78.363879,40.55446,Discharge Monitoring Reports
ALTOONA WESTERLY STP,10.8,0.16681658923596002,0.2016880880496799,-78.4276,40.4571,Clean Watershed Needs Survey
AMBLER BORO MS4 UA,4.74983333333333,0.061602480687648835,0.07051345207356118,-75.22074,40.15504,Discharge Monitoring Reports
AMBLER BORO STP,4.5,0.06950691218165,0.06580373327035247,-75.2113,40.1621,Clean Watershed Needs Survey
AMHERST WASTEWATER TREATMENT PLANT,4.09483333333333,0.05310752475577544,0.058321250583234306,-72.537382,42.387696,Discharge Monitoring Reports
AMITY TWP (BERKS) STP,2.1,0.032436559018103335,0.02481925445835181,-75.726571,40.2514,Clean Watershed Needs Survey
AMITY TWP WWTP,1.36333333333333,0.017681613110107956,0.014280960710003562,-75.726571,40.2514,Discharge Monitoring Reports
AMSTERDAM (C) WWTP,,,,-74.1665,42.921,Discharge Monitoring Reports
ANNVILLE TWP STP,0.672366666666667,0.008720191150219771,0.005780920914390444,-76.528264,40.328624,Discharge Monitoring Reports
